date,SnowDepth,Snowfall,Population
2018/1/1,0,0,405653
2018/1/2,0,0,408664
2018/1/3,2,2,399199
2018/1/4,4,2,397423
2018/1/5,0,0,408663
2018/1/6,0,0,382858
2018/1/7,0,0,407470
2018/1/8,0,0,402380
2018/1/9,0,0,387049
2018/1/10,9,10,377938
2018/1/11,24,17,399840
2018/1/12,50,32,375095
2018/1/13,77,29,374667
2018/1/14,76,0,361106
2018/1/15,60,0,363893
2018/1/16,49,0,402399
2018/1/17,33,0,383880
2018/1/18,24,0,371687
2018/1/19,20,0,374667
2018/1/20,17,0,361106
2018/1/21,15,0,366893
2018/1/22,20,8,356438
2018/1/23,21,8,362305
2018/1/24,33,13,351168
2018/1/25,38,8,366893
2018/1/26,49,13,356438
2018/1/27,48,1,354432
2018/1/28,44,0,361721
2018/1/29,38,4,350934
2018/1/30,53,22,332109
2018/1/31,53,2,338921
2018/2/1,37,0,329198
2018/2/2,33,0,320198
2018/2/3,32,2,199543
2018/2/4,40,12,197076
2018/2/5,82,47,197254
2018/2/6,136,54,198897
2018/2/7,147,28,195743
2018/2/8,142,1,199622
2018/2/9,129,0,209180
2018/2/10,113,0,199374
2018/2/11,90,7,203414
2018/2/12,92,9,213412
2018/2/13,109,21,209045
2018/2/14,104,0,209821
2018/2/15,87,0,211823
2018/2/16,80,0,212345
2018/2/17,78,1,220184
2018/2/18,78,0,239491
2018/2/19,74,0,204813
2018/2/20,71,0,239401
2018/2/21,68,0,223991
2018/2/22,66,0,213290
2018/2/23,64,2,213984
2018/2/24,60,0,233498
2018/2/25,58,0,234703
2018/2/26,56,0,238945
2018/2/27,52,0,204918
2018/2/28,48,0,230349
